SPECIESID,SPECIESNAME,SCIENTIFIC_NAME,WORMS
RED,Redfish,Sebastes,
SAL,Salmon,Salmo salar,
SKP,Snake Pipefish,Entelurus aequoreus,
SPF,Myctophum punctatum,Myctophum punctatum,
SQE,Flying squid,Ommastrephes sagittatus,
WHB,Blue whiting,Micromesistius poutassou,126439
SAN,Sandeels,Ammodytes spp,126751
WHG,Whiting,Merlangius merlangus,126438
GUN,Piper gurnard,Trigla lyra,
USK,Tusk,Brosme brosme,
TPA,Dealfish,Trachipterus arcticus,
MAV,,,
CAW,,Calloplesiops Altivelis,
PRA,,Pandalus Borealis,
ANE,European Anchovy,Engraulis Encrasicolus,126426
POL,,Pollachius Pollachius,
GSS,Sea Stickleback,Spinachia Spinachia,
MNL,,,
YEI,,,
HXV,,Hexanchiformes,
SHE,ask the russians,,
BEN,Needlefishes,Belonidae,
NOP,Norway pout,Trisopterus esmarkii,126444
ETX,Ask Karl-Johan,Ask Karl-Johan,
LMJ,,Lumpenus Fabricii,
ARU,Greater Argentine,Argentinus Silus,
PLR,Netted prochilod,Prochilodus reticulatus,
MCD,,Lampanyctus Macdonaldi,
MON,Monkfish,Lophius spp.,
ZIK,Silvery Pout,Gadiculus argenteus,
POC,Polar Cod,Boreogadus Saida,
OKX,Dreamers nei,Oneirodidae,
LAU,Sea lamprey,Petromyzon marinus,
CNI,Cnidarians nei,Cnidaria,
AQM,Amphipods,Amphipoda,
LYR,Cherryfin shiner,Lythrurus roseipinnis,
CDN,Sloane's Viperfish,Chauliodus sloani,
BHG,,,
FHF,Ask Iceland!,,
LAX,Patchwork lampfishes,Notoscopelus spp,
MTP,,Myctophum punctatum,
SBB,,,
CAJ,,Caulophryne Jordani,
JEL,,Rhopilema spp,
SFV,Norway redfish,Sebastes Viviparus,
CAS,Spotted wolffish,Anarhichas minor,
CAA,Atlantic wolffish,Anarhichas lupus,
GUX,Gurnards Searobins,Triglidae,
ARZ,Spotted barracudina,Arctozenius rissoi,
ANP,Daggertooth,Anotopterus pharaoh,
BSK,Basking shark,Cetorhinus maximus,
CAD,Northern wolfish,Anarhichas denticulatus,
GDT,Arctic rockling,Gaidropsarus argentatus,
SVW,Large-scale lantern fish,Symbolophorus veranyi,
HDV,Imperial blackfish,Schedophilus ovalis,
AEG,Astronesthes gemmifer,Astronesthes gemmifer,
LDS,Lampadena speculigera,Lampadena speculigera,
PHN,Bighead searsid,Holtbyrnia anomala,
LYD,Jewel lanternfish,Lampanyctus crocodilus,
HWB,Pelagic basslet,Howella brodiei,
SDN,East African sardinella,Sardinella neglecta,
MCN,Stoplight loosejaw,Malacosteus niger,
OMZ,Squids nei,Ommastrephidae,
DPO,Small lantern fish,Diaphus holti,
DUU,Silver Spinyfin,Diretmus argenteus,
ARG,Argentines,Argentina spp,
ENQ,Snake pipefish,Entelurus aequoreus,
DGS,Picked dogfish,Squalus Acantias,105923
HAL,Atlantic halibut,Hippoglossus hippoglossus,
PLE,European Plaice,Pleuronectes platessa,
ABZ,Small sandeel,Ammodytes tobianus,
LCM,Fivebeard rockling,Ciliata mustela,
TRS,Sea trout,Salmo trutta,
PZB,,Paralepididae,
CEP,Cephalopods nei,Cephalopoda,
GAS,,,
HQZ,,,
JPP,,,
PBY,,,
HAF,Hatchetfishes nei,Sternoptychidae,
LYO,,Lampanyctus macdonaldi,
DCP,Natantian decapods nei,Natantia,
DAB,Common dab,Limanda limanda,127139
LEM,Lemmon Sole,"Microstomus kitt (Walbaum, 1792)",127140
LIN,Common ling,"Molva molva˜(Linnaeus, 1758)",126461
POR,Porbeagle,"Lamna nasus (Bonnaterre, 1788)",105841
SPR,European sprat,Sprattus sprattus,126425
TOZ,,"Echiichthys vipera (Cuvier, 1829) ",150630
SAN,Great sandeel,Hyperoplus lanceolatus,126756
PIL,"Sardine, Pilchard",Sardina pilchardus,126421
FOU,Fourbeard rockling,Enchelyopus cimbrius,126450
ARG,,Argentina sphyraena,126716
